cod_centro;tipo;cod_estado;cod_municipio;cod_parroquia;nombre_centro;direccion_centro;centro_nuevo
20;4;1;1;1;UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES;FRENTE CALLE SAN JUDAS Y ESCALERA SAN MARCOS, TERMINAL AUTOBUSES DE COTIZA, BAJANDO POR LA ENTRADA DE RESIDENCIAS VILLAS DEL SOL, AL FRENTE EL INCA O ESTADIO GALÁRRAGA;10106001
25;1;1;1;1;UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES;BARRIO: COTIZA. FRENTE CALLE LOS EUCALIPTUS. IZQUIERDA ESCALERA SAN JUDA. DERECHA ESCALERA SAN MARCOS. REFERENCIA FRENTE AL PARQUE ANDRES GALARRAGA;10101027
40;1;1;1;1;UNIDAD EDUCATIVA DISTRITAL MADARIAGA;SECTOR ALTAGRACIA DERECHA CALLE CONCORDIA. IZQUIERDA CALLE DELICIAS. FRENTE CALLE DELICIAS A CONCORDIA AL FRENTE EL INCA O ESTADIO GALARRAGA CASA;10101001
41;1;1;1;1;UNIDAD EDUCATIVA SANTA BARBARA;SECTOR: SANTA BARBARA. FRENTE CALLE PARAISO. IZQUIERDA CALLE DOCTOR GONZALEZ. DERECHA CALLE PARAISO. REFERENCIA FRENTE ESQUINAS DOCTOR GONZÁLEZ A PARAÍSO;10101002
42;1;1;1;1;CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL ALTAGRACIA (CMAI);SECTOR EL RETIRO FRENTE AVENIDA COTA MIL. DERECHA CALLE LOS EUCALIPTUS. IZQUIERDA CALLE SEGUNDA CALLE EL RETIRO INICIO DE AVENIDA  COTA MIL FRENTE RESIDENCIAS VILLA DEL SUR, DIAGONAL PARADA DE AUTOBUSES COTIZA CASA;10101025
43;1;1;1;1;CENTRO DE EDUCACIÓN INICIAL SAMUEL ROBINSÓN;SECTOR EL RETIRO DERECHA CALLE TERRAZA A. IZQUIERDA CALLE PRIMERA CALLE EL RETIRO. FRENTE TRANSVERSAL ENTRE EL RETIRO Y TERRAZA A FINAL AVENIDA BARALT CON PRIMERA CALLE DEL RETIRO CASA;10101026
60;1;1;1;1;UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE;SECTOR TIENDA HONDA DERECHA CALLE JESUITA. IZQUIERDA CALLE SANTA BARBARA. FRENTE CALLE TIENDA HONDA FRENTE ESQUINAS ESTE CINCO TIENDA HONDA A ESTE CINCO SANTA BARBARA, EDIFICIO;10101003
70;1;1;1;1;UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA;SECTOR CASCO UNO DERECHA CALLE CEIBA. IZQUIERDA CALLE PORVENIR. FRENTE CALLE CEIBA A PORVENIR FRENTE  CASA DE LA ALIMENTACIÓN Y MISIÓN VUELVAN CARAS CASA;10101004
81;4;1;1;1;INSTITUTO CENTRAL DE EDUCACIÓN (ICE);SECTOR ALTAGRACIA IZQUIERDA CALLE JESUITA A MATURIN. FRENTE BULEVAR PANTEON FRENTE AVENIDA NORTE DE ESQUINA JESUITAS A MATURÍN CASA;10101005
82;1;1;1;1;COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA;URBANIZACIÓN ALTAGRACIA DERECHA CALLE MERCEDES. IZQUIERDA CALLE MERCEDES. FRENTE CALLE MIJARES LATERAL AL BANCO CENTRAL DE VENEZUELA Y DIAGONAL A LA IGLESIA LAS MERCEDES EDIFICIO;10101006
